"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"McClintock_-93.8_57.83",57.83,-93.8,2469.64019975616,2469.64019975616,2469.64019975616,2469.64019975616,2469.64019975616,485.9,2748,8812.5,8837.7,10678,"Boreal forests"
"Herchmer_-93.82_57.38",57.38,-93.82,2729.90309625056,2729.90309625056,2729.90309625056,2729.90309625056,2729.90309625056,478.5,2761.7,8660.5,8715.9,10475.7,"Boreal forests"
"Manitoba_-93.82_57.38",57.38,-93.82,330.066661375786,644.424551822016,1793.02207778606,3166.10676562181,4166.80718089754,478.5,2761.7,8660.5,8715.9,10475.7,"Boreal forests"
"Manitoba_-93.8_57.83",57.83,-93.8,607.566089749453,972.984768885792,1784.02516060181,2858.9049652555,4447.6118252077,485.9,2748,8812.5,8837.7,10678,"Boreal forests"
"Khosedayu_59.5_67.17",67.17,59.5,307.458215271851,309.447476762804,309.447476762804,309.447476762804,NA,245,1089.8,1757.1,2271.3,4041.9,"Tundra"
"Tulchan_-3.42_57.42",57.42,-3.42,158.811308622427,253.251316155155,NA,NA,NA,55.1,88,127.7,187.8,283.1,"Mediterranean/Montane shrublands"
"Buena Vista_-73.201815_-4.2399133",-4.2399133,-73.201815,421.830609342302,421.830609342302,422.957385511568,441.402489352286,466.72585665247,12.4,21,57.2,100.1,133.6,"Tropical/Subtropical forests"
"Charo_-73.2616967_-4.2764133",-4.2764133,-73.2616967,436.567192663004,436.567192663004,436.567192663004,436.567192663004,438.278210427803,12,20.4,55.1,96,127.5,"Tropical/Subtropical forests"
"Quistococha_-73.32065_-3.8343483",-3.8343483,-73.32065,435.250411045467,435.250411045467,435.250411045467,439.660923537601,529.524957670805,16.4,33.2,98.1,150.9,229.3,"Tropical/Subtropical forests"
"Ri????n_-74.0023967_-4.8887517",-4.8887517,-74.0023967,453.155778209354,453.155778209354,453.155778209354,453.155778209354,457.503655880026,82.7,332.7,1125.9,1449.6,1172.7,"Tropical/Subtropical forests"
